appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,total_ratings,positive_ratings_percent
213670,South Park™: The Stick of Truth™,2014-03-06,1,Obsidian Entertainment,Ubisoft,windows,0,Single-player;Steam Achievements;Full controller support,"['Action', 'Adventure', 'RPG']",RPG;Comedy;Adventure,50,35896,911,1045,628,2000000-5000000,25.99,36807,97.52492732360693
400910,Rabi-Ribi,2016-01-28,1,CreSpirit;GemaYue,Sekai Project,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Steam Leaderboards,"['Action', 'Adventure', 'Casual', 'Indie']",Anime;Cute;Bullet Hell,208,6496,167,2356,3223,100000-200000,13.59,6663,97.4936214918205
206190,Gunpoint,2013-06-03,1,Suspicious Developments,Suspicious Developments,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Steam Cloud;Includes level editor,"['Action', 'Indie', 'Strategy']",Stealth;Puzzle;Indie,42,10384,271,212,242,500000-1000000,6.0,10655,97.45659314875645
227000,Primordia,2012-12-05,1,Wormwood Studios,Wadjet Eye Games,windows,0,Single-player;Steam Achievements;Steam Trading Cards,"['Adventure', 'Indie']",Point & Click;Adventure;Post-apocalyptic,29,1863,49,234,394,100000-200000,6.99,1912,97.43723849372385
602520,NEKOPARA Vol. 3,2017-05-25,1,NEKO WORKs,Sekai Project,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,"['Sexual Content', 'Nudity', 'Casual', 'Indie']",Anime;Sexual Content;Nudity,27,7678,202,317,466,200000-500000,6.99,7880,97.43654822335024
219150,Hotline Miami,2012-10-23,1,Dennaton Games,Devolver Digital,windows;mac;linux,18,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,"['Action', 'Indie']",Great Soundtrack;Action;Violent,35,45809,1211,380,237,2000000-5000000,6.99,47020,97.42450021267545
499440,klocki,2016-07-13,1,Maciej Targoni;Wojciech Wasiak,Maciej Targoni,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards,"['Casual', 'Indie']",Indie;Puzzle;Casual,1,3559,95,86,92,100000-200000,0.79,3654,97.40010946907499
10,Counter-Strike,2000-11-01,1,Valve,Valve,windows;mac;linux,0,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,['Action'],Action;FPS;Multiplayer,0,124534,3339,17612,317,10000000-20000000,7.19,127873,97.38881546534452
995460,Miracle snack shop 기적의 분식집,2018-12-25,1,"TALESSHOP Co., Ltd.","TALESSHOP Co., Ltd.",windows,0,Single-player,"['Casual', 'Indie', 'Simulation']",Dating Sim;Visual Novel;Simulation,0,1079,29,816,816,20000-50000,7.19,1108,97.3826714801444
557600,Gorogoa,2017-12-14,1,Buried Signal,Annapurna Interactive,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,"['Adventure', 'Casual', 'Indie']",Puzzle;Adventure;Indie,11,4739,129,121,155,100000-200000,11.39,4868,97.35004108463434
238460,BattleBlock Theater®,2014-05-15,1,The Behemoth,The Behemoth,windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats;Steam Leaderboards;Includes level editor,"['Action', 'Adventure', 'Casual', 'Indie']",Comedy;Co-op;Platformer,30,47342,1290,774,289,2000000-5000000,10.99,48632,97.34742556341503
288160,The Room,2014-07-28,1,Fireproof Games,Fireproof Games,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,"['Adventure', 'Indie']",Puzzle;Mystery;Point & Click,5,10206,280,167,211,200000-500000,3.99,10486,97.32977303070761
420110,NEKOPARA Vol. 2,2016-02-19,1,NEKO WORKs,Sekai Project,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,"['Sexual Content', 'Nudity', 'Casual', 'Indie']",Anime;Sexual Content;Cute,20,8671,238,586,602,500000-1000000,6.99,8909,97.32854416881806
433950,Bit Blaster XL,2016-01-22,1,Nickervision Studios,Nickervision Studios,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,"['Action', 'Casual', 'Indie']",Indie;Action;Casual,17,5221,145,125,156,200000-500000,0.79,5366,97.29780096906448
312990,The Expendabros,2014-08-05,1,Free Lives,Devolver Digital,windows;mac,0,Single-player;Shared/Split Screen;Full controller support,"['Action', 'Adventure', 'Free to Play', 'Indie']",Free to Play;Action;Multiplayer,0,15084,425,85,56,2000000-5000000,0.0,15509,97.25965568379651
504230,Celeste,2018-01-25,1,Matt Makes Games Inc.,Matt Makes Games Inc.,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,"['Action', 'Adventure', 'Indie']",Platformer;Pixel Graphics;Difficult,30,7239,206,638,930,200000-500000,14.99,7445,97.23304231027535
559210,Rakuen,2017-05-10,1,Laura Shigihara,Laura Shigihara,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,"['Adventure', 'Indie', 'RPG']",Story Rich;Indie;RPGMaker,15,2192,63,344,406,50000-100000,6.99,2255,97.20620842572062
367580,Hook,2015-07-06,1,Maciej Targoni;Wojciech Wasiak,Maciej Targoni,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards,"['Casual', 'Indie']",Puzzle;Casual;Indie,1,6636,193,251,266,100000-200000,0.79,6829,97.17381754283204
339350,Choice of Robots,2014-12-19,1,Choice of Games,Choice of Games,windows;mac;linux,0,Single-player;Steam Achievements;Captions available;Steam Cloud,"['Indie', 'RPG']",Choose Your Own Adventure;Text-Based;Choices Matter,72,1719,50,0,0,50000-100000,4.79,1769,97.1735443753533
48700,Mount & Blade: Warband,2010-03-31,1,TaleWorlds Entertainment,TaleWorlds Entertainment,windows;mac;linux,0,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Workshop,"['Action', 'RPG']",Medieval;RPG;Open World,80,75872,2213,7932,1884,2000000-5000000,14.99,78085,97.16590894538002
413410,Danganronpa: Trigger Happy Havoc,2016-02-18,1,"Spike Chunsoft Co., Ltd.;Abstraction Games","Spike Chunsoft Co., Ltd.",windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,['Adventure'],Anime;Mystery;Visual Novel,38,5714,167,1636,1880,200000-500000,14.99,5881,97.16034687978234
13230,Unreal Tournament 2004: Editor's Choice Edition,2004-03-17,1,"Epic Games, Inc.","Epic Games, Inc.",windows,0,Single-player;Multi-player;Steam Trading Cards,['Action'],FPS;Arena Shooter;Action,0,2211,66,414,496,200000-500000,8.99,2277,97.10144927536231
388210,Day of the Tentacle Remastered,2016-03-21,1,Double Fine Productions,Double Fine Productions,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Commentary available,['Adventure'],Adventure;Point & Click;Classic,58,2404,73,189,237,200000-500000,10.99,2477,97.05288655631813
205100,Dishonored,2012-10-11,1,Arkane Studios,Bethesda Softworks,windows,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,"['Action', 'Adventure']",Stealth;First-Person;Action,80,41756,1269,749,565,2000000-5000000,7.99,43025,97.05055200464847
13240,Unreal Tournament: Game of the Year Edition,2008-03-17,1,"Epic Games, Inc.","Epic Games, Inc.",windows,0,Single-player;Multi-player,['Action'],Classic;FPS;Action,0,2134,65,565,924,200000-500000,5.99,2199,97.04411095952705
105600,Terraria,2011-05-16,1,Re-Logic,Re-Logic,windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,"['Action', 'Adventure', 'Indie', 'RPG']",Sandbox;Adventure;Survival,88,255600,7797,5585,1840,5000000-10000000,6.99,263397,97.03982961081562
431960,Wallpaper Engine,2018-11-16,1,Kristjan Skutta,Kristjan Skutta,windows,0,Steam Achievements;Steam Trading Cards;Steam Workshop;Includes level editor,"['Animation & Modeling', 'Design & Illustration', 'Utilities']",Utilities;Software;Design & Illustration,17,63623,1947,1731,542,5000000-10000000,2.79,65570,97.0306542626201
333640,Caves of Qud,2015-07-15,1,Freehold Games,Freehold Games,windows;mac;linux,0,Single-player;Steam Achievements;Steam Workshop;Steam Leaderboards;Includes level editor,"['Adventure', 'Indie', 'RPG', 'Strategy', 'Early Access']",Early Access;Rogue-like;RPG,52,1498,46,171,219,50000-100000,11.39,1544,97.02072538860104
3590,Plants vs. Zombies GOTY Edition,2009-05-05,1,"PopCap Games, Inc.","PopCap Games, Inc.",windows;mac,0,Single-player;Steam Achievements,['Strategy'],Tower Defense;Zombies;Strategy,21,14630,454,480,374,1000000-2000000,4.25,15084,96.99018827897109
844930,Fox Hime Zero,2018-05-23,1,AsicxArt,SakuraGame,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,"['Adventure', 'Indie', 'RPG']",Visual Novel;Anime;Indie,8,1416,44,57,57,50000-100000,1.69,1460,96.98630136986301
221640,Super Hexagon,2012-11-27,1,Terry Cavanagh,Terry Cavanagh,windows;mac;linux,0,Single-player;Full controller support,"['Action', 'Indie']",Difficult;Indie;Great Soundtrack,6,19797,616,140,130,1000000-2000000,1.99,20413,96.98231519129966
260750,Neighbours from Hell Compilation,2013-11-07,1,JoWooD Vienna,THQ Nordic,windows,0,Single-player;Steam Cloud,"['Adventure', 'Casual']",Comedy;Casual;Adventure,0,1639,51,170,170,200000-500000,8.99,1690,96.98224852071006
456750,The Room Three,2018-11-13,1,Fireproof Games,Fireproof Games,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,"['Adventure', 'Indie']",Puzzle;Indie;Adventure,10,1216,38,397,398,50000-100000,4.99,1254,96.96969696969697
413420,Danganronpa 2: Goodbye Despair,2016-04-18,1,"Spike Chunsoft Co., Ltd.;Abstraction Games","Spike Chunsoft Co., Ltd.",windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,['Adventure'],Anime;Detective;Visual Novel,47,4677,148,1909,2068,200000-500000,14.99,4825,96.93264248704662
413150,Stardew Valley,2016-02-26,1,ConcernedApe,ConcernedApe,windows;mac;linux,0,Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,"['Indie', 'RPG', 'Simulation']",RPG;Simulation;Pixel Graphics,40,118217,3761,2868,1728,2000000-5000000,10.99,121978,96.91665710210037
531510,Just Shapes & Beats,2018-05-31,1,Berzerk Studio,Berzerk Studio,windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,"['Action', 'Indie']",Rhythm;Great Soundtrack;Music,26,1980,63,144,144,50000-100000,15.49,2043,96.91629955947137
568770,Cinderella Phenomenon - Otome/Visual Novel,2017-04-05,1,Dicesuki,Dicesuki,windows;mac;linux,0,Single-player;Steam Achievements,"['Free to Play', 'Indie', 'Simulation']",Free to Play;Visual Novel;Otome,14,2128,68,1624,1624,100000-200000,0.0,2196,96.90346083788707
843380,Super Animal Royale,2018-12-12,1,Pixile,Pixile,windows;mac,0,Multi-player;Online Multi-Player;Co-op;Online Co-op;Full controller support,"['Action', 'Adventure', 'Casual', 'Indie', 'Massively Multiplayer', 'Early Access']",Early Access;Indie;Battle Royale,0,1177,38,222,222,20000-50000,10.29,1215,96.8724279835391
370360,TIS-100,2015-07-20,1,Zachtronics,Zachtronics,windows;mac;linux,0,Single-player;Steam Achievements;Steam Cloud;Steam Leaderboards;Includes level editor,"['Indie', 'Simulation']",Programming;Puzzle;Indie,10,2536,82,325,325,200000-500000,4.99,2618,96.86783804430863
450540,"Hot Dogs, Horseshoes & Hand Grenades",2016-04-05,1,RUST LTD.,RUST LTD.,windows,0,Single-player;VR Support,"['Action', 'Indie', 'Simulation', 'Early Access']",Early Access;VR;Simulation,1,3054,99,568,568,200000-500000,14.99,3153,96.86013320647004
644560,Mirror,2018-04-19,1,KAGAMI WORKs,Paradise Project,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,"['Adventure', 'Indie', 'RPG']",Sexual Content;Nudity;Mature,114,21474,702,281,291,500000-1000000,1.69,22176,96.8344155844156
653530,Return of the Obra Dinn,2018-10-18,1,Lucas Pope,3909,windows;mac,0,Single-player;Steam Achievements;Full controller support,"['Adventure', 'Indie']",Mystery;Detective;Atmospheric,16,3960,130,160,160,100000-200000,15.49,4090,96.82151589242054
227300,Euro Truck Simulator 2,2012-10-12,1,SCS Software,SCS Software,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor,"['Indie', 'Simulation']",Simulation;Driving;Open World,67,176769,5825,4942,1413,5000000-10000000,14.99,182594,96.80986231749127
698780,Doki Doki Literature Club!,2017-10-06,1,Team Salvato,Team Salvato,windows;mac,0,Single-player,"['Casual', 'Free to Play', 'Indie']",Psychological Horror;Anime;Visual Novel,0,108556,3588,162,99,2000000-5000000,0.0,112144,96.8005421600799
452570,Battle Chef Brigade Deluxe,2017-11-20,1,Trinket Studios,Adult Swim Games,windows;mac,0,Single-player;Local Multi-Player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud;Steam Leaderboards,"['Action', 'Adventure', 'Indie', 'RPG']",Action;RPG;Indie,25,1025,34,242,356,20000-50000,15.49,1059,96.78942398489141
360740,Downwell,2015-10-15,1,Moppin,Devolver Digital,windows,0,Single-player;Steam Achievements;Partial Controller Support;Steam Leaderboards,"['Action', 'Adventure', 'Indie']",Platformer;Indie;Action,20,4486,149,134,108,200000-500000,1.99,4635,96.78532901833873
550,Left 4 Dead 2,2009-11-19,1,Valve,Valve,windows;mac;linux,0,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK;Commentary available,['Action'],Zombies;Co-op;FPS,70,251789,8418,1615,566,10000000-20000000,7.19,260207,96.76488334287701
102600,Orcs Must Die!,2011-10-11,1,Robot Entertainment,Robot Entertainment,windows,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards,"['Action', 'Indie', 'Strategy']",Tower Defense;Action;Strategy,27,5371,180,159,195,1000000-2000000,7.99,5551,96.7573410196361
909080,Cube Escape: Paradox,2018-09-20,1,Rusty Lake,Rusty Lake,windows;mac,0,Single-player;Steam Achievements;Steam Cloud,"['Adventure', 'Indie']",Adventure;Puzzle;Indie,28,1578,53,82,111,200000-500000,0.0,1631,96.7504598405886
206440,To the Moon,2012-09-07,1,Freebird Games,Freebird Games,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,"['Adventure', 'Indie', 'RPG']",Story Rich;Great Soundtrack;Indie,1,42115,1423,200,233,1000000-2000000,6.99,43538,96.7315907942487
274190,Broforce,2015-10-15,1,Free Lives,Devolver Digital,windows;mac;linux,0,Single-player;Multi-player;Co-op;Shared/Split Screen;Full controller support;Includes level editor,"['Action', 'Adventure', 'Casual', 'Indie']",America;Action;Pixel Graphics,17,31033,1059,498,459,1000000-2000000,11.99,32092,96.70011217748971
18500,Defense Grid: The Awakening,2008-12-08,1,Hidden Path Entertainment,Hidden Path Entertainment,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,"['Indie', 'Strategy']",Tower Defense;Strategy;Sci-fi,87,3307,113,455,686,500000-1000000,6.99,3420,96.69590643274853
318130,Doom & Destiny,2015-03-18,1,Heartbit Interactive,Heartbit Interactive,windows;mac,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats,"['Indie', 'RPG']",RPG;Indie;RPGMaker,44,1580,54,0,0,50000-100000,6.99,1634,96.6952264381885
541570,Sally Face,2016-12-14,1,Steve Gabry,Steve Gabry,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,"['Adventure', 'Indie']",Psychological Horror;Adventure;Story Rich,28,1832,63,371,371,100000-200000,1.99,1895,96.67546174142481
639790,DEEP SPACE WAIFU,2017-05-31,1,Neko Climax Studios,Neko Climax Studios,windows,18,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,"['Action', 'Casual', 'Indie']",Sexual Content;Nudity;Anime,69,7222,252,167,192,200000-500000,1.59,7474,96.62831147979662
304410,Hexcells Infinite,2014-09-01,1,Matthew Brown,Matthew Brown,windows;mac;linux,0,Single-player;Steam Achievements;Steam Cloud,"['Casual', 'Indie', 'Strategy']",Puzzle;Indie;Casual,7,1947,68,1697,1697,100000-200000,3.99,2015,96.62531017369727
